game_id,season,week,away_team,away_score,home_team,home_score,result,total,overtime,spread_line,Proj_Margin,abs_error,vegas_abs_error,sqd_error,vegas_sqd_error,straight_up_win,vegas_straight_up_win,ATS_win,AE_ATS_win
2025_04_CHI_LV,2025,4,CHI,25,LV,24,-1,49,0,1.5,4.121681910851585,5.121681910851585,2.5,26.231625595944344,6.25,0,0,0,0
2025_04_GB_DAL,2025,4,GB,40,DAL,40,0,80,1,-7,-3.1884139597467125,3.1884139597467125,7,10.16598357870771,49,1,1,1,1
2025_04_NYJ_MIA,2025,4,NYJ,21,MIA,27,6,48,0,2.5,0.8414118525648691,5.158588147435131,3.5,26.611031674858214,12.25,1,1,0,0
2025_04_CIN_DEN,2025,4,CIN,3,DEN,28,25,31,0,7.5,1.1602529156925303,23.83974708430747,17.5,568.3335410437464,306.25,1,1,0,0
2025_05_SF_LA,2025,5,SF,26,LA,23,-3,49,1,8.5,3.4288053425290936,6.428805342529094,11.5,41.329538132130615,132.25,0,0,1,1
2025_05_MIN_CLE,2025,5,MIN,21,CLE,17,-4,38,0,-3.5,-6.513209301185983,2.513209301185982,0.5,6.316220991567735,0.25,1,1,1,0
2025_05_HOU_BAL,2025,5,HOU,44,BAL,10,-34,54,0,-2.5,2.207074191018842,36.20707419101884,31.5,1310.9522214739427,992.25,0,1,0,0
2025_05_MIA_CAR,2025,5,MIA,24,CAR,27,3,51,0,-1.5,-2.088607828991949,5.0886078289919485,4.5,25.893929637278152,20.25,0,0,0,0
2025_05_LV_IND,2025,5,LV,6,IND,40,34,46,0,7,7.414462212451305,26.585537787548695,27,706.7908194531796,729,1,1,1,1
2025_05_NYG_NO,2025,5,NYG,14,NO,26,12,40,0,1.5,2.0072882856904446,9.992711714309555,10.5,99.85428740529942,110.25,1,1,1,1
2025_05_DAL_NYJ,2025,5,DAL,37,NYJ,22,-15,59,0,1.5,3.823425313618396,18.823425313618397,16.5,354.32134053736985,272.25,0,0,0,0
2025_05_DEN_PHI,2025,5,DEN,21,PHI,17,-4,38,0,3.5,4.139420662301936,8.139420662301937,7.5,66.25016871790771,56.25,0,0,0,0
2025_05_TEN_ARI,2025,5,TEN,22,ARI,21,-1,43,0,7.5,7.017506278819882,8.017506278819882,8.5,64.28040693091623,72.25,0,0,1,1
2025_05_TB_SEA,2025,5,TB,38,SEA,35,-3,73,0,3.5,-0.04813304215500569,2.9518669578449943,6.5,8.71351853681706,42.25,1,0,1,1
2025_05_DET_CIN,2025,5,DET,37,CIN,24,-13,61,0,-10.5,-6.936561998782987,6.063438001217013,2.5,36.76528039460256,6.25,1,1,0,0
2025_05_WAS_LAC,2025,5,WAS,27,LAC,10,-17,37,0,2.5,4.326824044036602,21.3268240440366,19.5,454.83342380529774,380.25,0,0,0,0
2025_05_NE_BUF,2025,5,NE,23,BUF,20,-3,43,0,7.5,8.16779387292958,11.16779387292958,10.5,124.71961998824348,110.25,0,0,0,0
2025_05_KC_JAX,2025,5,KC,28,JAX,31,3,59,0,-3.5,-0.4724657000871586,3.4724657000871586,6.5,12.0580180382818,42.25,0,0,1,1
2025_06_PHI_NYG,2025,6,PHI,17,NYG,34,17,51,0,-7,-1.5407841307307768,18.540784130730778,24,343.7606761823582,576,0,0,1,1
2025_06_DEN_NYJ,2025,6,DEN,13,NYJ,11,-2,24,0,-7.5,-4.92980356455847,2.92980356455847,5.5,8.583748926899517,30.25,1,1,1,1
2025_06_LA_BAL,2025,6,LA,17,BAL,3,-14,20,0,-7,2.1141880387056533,16.114188038705652,7,259.6670561467643,49,0,1,0,0
2025_06_DAL_CAR,2025,6,DAL,27,CAR,30,3,57,0,-3,1.9925250496430704,1.0074749503569296,6,1.0150057755966977,36,1,0,1,1
2025_06_ARI_IND,2025,6,ARI,27,IND,31,4,58,0,8.5,4.884391570139316,0.8843915701393161,4.5,0.7821484493334849,20.25,1,1,1,1
2025_06_SEA_JAX,2025,6,SEA,20,JAX,12,-8,32,0,-1.5,1.0099428487962498,9.00994284879625,6.5,81.17907013857469,42.25,0,1,0,0
2025_06_LAC_MIA,2025,6,LAC,29,MIA,27,-2,56,0,-3.5,-0.12886894495406587,1.871131055045934,1.5,3.5011314251573107,2.25,1,1,1,0
2025_06_NE_NO,2025,6,NE,25,NO,19,-6,44,0,-3.5,0.8782981188790333,6.878298118879034,2.5,47.310985012174854,6.25,0,1,0,0
2025_06_CLE_PIT,2025,6,CLE,9,PIT,23,14,32,0,5.5,3.0295280207350825,10.970471979264918,8.5,120.35125544783672,72.25,1,1,0,0
2025_06_TEN_LV,2025,6,TEN,10,LV,20,10,30,0,3.5,2.5642178217013196,7.43578217829868,6.5,55.29085660310427,42.25,1,1,0,0
2025_06_CIN_GB,2025,6,CIN,18,GB,27,9,45,0,14,8.956685905374819,0.0433140946251811,5,0.00187611079319914,25,1,1,1,1
2025_06_SF_TB,2025,6,SF,19,TB,30,11,49,0,3.5,4.510086187585838,6.489913812414162,7.5,42.11898129256412,56.25,1,1,1,1
2025_06_DET_KC,2025,6,DET,17,KC,30,13,47,0,2.5,-0.9440081619594504,13.94400816195945,10.5,194.43536362079175,110.25,0,1,0,0
2025_06_BUF_ATL,2025,6,BUF,14,ATL,24,10,38,0,-3.5,-0.9237629940327574,10.923762994032757,13.5,119.32859794979947,182.25,0,0,1,1
2025_06_CHI_WAS,2025,6,CHI,25,WAS,24,-1,49,0,5.5,5.885291271817199,6.885291271817199,6.5,47.4072358977621,42.25,0,0,0,0
2025_07_PIT_CIN,2025,7,PIT,31,CIN,33,2,64,0,-5.5,-1.2262923590226258,3.226292359022626,7.5,10.40896238588778,56.25,0,0,1,1
2025_07_LA_JAX,2025,7,LA,35,JAX,7,-28,42,0,-3,-1.6638857677786196,26.33611423222138,25,693.5909128526135,625,1,1,0,0
2025_07_NO_CHI,2025,7,NO,14,CHI,26,12,40,0,4.5,2.702481792945987,9.297518207054011,7.5,86.44384481050088,56.25,1,1,0,0
2025_07_MIA_CLE,2025,7,MIA,6,CLE,31,25,37,0,2.5,2.9952990160855295,22.00470098391447,22.5,484.2068653914866,506.25,1,1,1,1
2025_07_LV_KC,2025,7,LV,0,KC,31,31,31,0,13.5,10.12312795307206,20.87687204692794,17.5,435.8437864638012,306.25,1,1,0,0
2025_07_PHI_MIN,2025,7,PHI,28,MIN,22,-6,50,0,-2.5,3.753836341954361,9.75383634195436,3.5,95.13732338562964,12.25,0,1,0,0
2025_07_CAR_NYJ,2025,7,CAR,13,NYJ,6,-7,19,0,1.5,0.7324192019136605,7.73241920191366,8.5,59.79030671412308,72.25,0,0,1,1
2025_07_NE_TEN,2025,7,NE,31,TEN,13,-18,44,0,-6.5,-3.2636044065372025,14.736395593462795,11.5,217.16135508702973,132.25,1,1,0,0
2025_07_NYG_DEN,2025,7,NYG,32,DEN,33,1,65,0,7.5,8.109238101704554,7.109238101704554,6.5,50.54126638672776,42.25,1,1,0,0
2025_07_IND_LAC,2025,7,IND,38,LAC,24,-14,62,0,2.5,1.40151816768243,15.401518167682427,16.5,237.20676186945192,272.25,0,0,1,1
2025_07_GB_ARI,2025,7,GB,27,ARI,23,-4,50,0,-7,-1.9730523601084824,2.0269476398915174,3,4.108516734861793,9,1,1,1,1
2025_07_WAS_DAL,2025,7,WAS,22,DAL,44,22,66,0,1.5,-2.6337233675786185,24.633723367578614,20.5,606.8203269503889,420.25,0,1,0,0
2025_07_ATL_SF,2025,7,ATL,10,SF,20,10,30,0,1.5,0.9729865163152532,9.027013483684748,8.5,81.48697243462624,72.25,1,1,0,0
2025_07_TB_DET,2025,7,TB,9,DET,24,15,33,0,6,5.265970122646478,9.73402987735352,9,94.751337653211,81,1,1,0,0
2025_07_HOU_SEA,2025,7,HOU,19,SEA,27,8,46,0,3,0.15349630858576102,7.846503691414239,5,61.56762017937728,25,1,1,0,0
2025_08_MIN_LAC,2025,8,MIN,10,LAC,37,27,47,0,3,0.930729027532168,26.069270972467834,24,679.6068890359539,576,1,1,0,0
2025_08_MIA_ATL,2025,8,MIA,34,ATL,10,-24,44,0,7,5.90610759313979,29.90610759313979,31,894.3752713724534,961,0,0,1,1
2025_08_CHI_BAL,2025,8,CHI,16,BAL,30,14,46,0,2.5,0.3823802060044119,13.617619793995589,11.5,185.43956885382048,132.25,1,1,0,0
2025_08_BUF_CAR,2025,8,BUF,40,CAR,9,-31,49,0,-7,-2.761461413411357,28.238538586588643,24,797.4150615062557,576,1,1,0,0
2025_08_NYJ_CIN,2025,8,NYJ,39,CIN,38,-1,77,0,5.5,3.4473333484039386,4.447333348403939,6.5,19.77877391182579,42.25,0,0,1,1
2025_08_SF_HOU,2025,8,SF,15,HOU,26,11,41,0,2.5,3.97303235685891,7.02696764314109,8.5,49.37827425775184,72.25,1,1,1,1
2025_08_CLE_NE,2025,8,CLE,13,NE,32,19,45,0,7,4.594064488323492,14.405935511676507,12,207.53097796658227,144,1,1,0,0
2025_08_NYG_PHI,2025,8,NYG,20,PHI,38,18,58,0,7,4.374471390176401,13.625528609823599,11,185.6550298971214,121,1,1,0,0
2025_08_TB_NO,2025,8,TB,23,NO,3,-20,26,0,-4.5,-3.3694719968997773,16.630528003100224,15.5,276.5744616619007,240.25,1,1,0,0
2025_08_DAL_DEN,2025,8,DAL,24,DEN,44,20,68,0,3.5,6.5075744227348045,13.492425577265195,16.5,182.04554795804003,272.25,1,1,1,1
2025_08_TEN_IND,2025,8,TEN,14,IND,38,24,52,0,15.5,9.507124921402507,14.492875078597493,8.5,210.04342804383228,72.25,1,1,0,0
2025_08_GB_PIT,2025,8,GB,35,PIT,25,-10,60,0,-3,-2.5846564172475675,7.415343582752433,7,54.98732045026769,49,1,1,0,0
2025_08_WAS_KC,2025,8,WAS,7,KC,28,21,35,0,10.5,6.8500488616217226,14.149951138378277,10.5,200.2211172184927,110.25,1,1,0,0
