team,week,VoA_Output,VoA_Ranking_Ovr,VoA_Rating_Ovr
HOU,9,13.21875,5,5.908650730840819
SEA,9,8.96875,6,5.57897381504331
LAC,9,12.53125,7,5.443766117866675
DEN,9,11.875,8,5.332094201986121
GB,9,9.90625,9,4.936685895376726
NE,9,13.8125,10,4.714164235085606
TB,9,13.46875,11,4.4648762751200035
LA,9,10.5625,12,4.444950288075852
PHI,9,12.96875,13,3.24498794665398
ARI,9,15,14,3.0865590366035116
SF,9,15.6875,15,2.5987151552066607
MIN,9,15.625,16,2.4268896065685865
ATL,9,17.125,17,1.339101153395546
BAL,9,14.65625,18,1.1983265160739744
CHI,9,17.1875,19,0.8188095296721969
JAX,9,17.625,20,0.8011692171089234
WAS,9,17.84375,21,0.633760898787579
MIA,9,20.0625,22,0.5191543355474364
PIT,9,18.34375,23,0.22024357185188237
DAL,9,19.59375,24,-0.08992419671063273
CLE,9,20.21875,25,-0.818869248532581
NYG,9,20.84375,26,-1.0025044425083716
NYJ,9,20.125,27,-1.2761638264373467
CAR,9,21.65625,28,-1.3267925765370006
CIN,9,20.21875,29,-2.0000206594061956
NO,9,22.65625,30,-2.9369351137882624
TEN,9,24.15625,31,-4.549633345511237
LV,9,22.4375,32,-5.042508716820647
KC,10,9.34375,1,8.306202581724568
IND,10,9.6875,2,7.228924715844692
DET,10,9.28125,3,6.724870084751646
SEA,10,9.0625,4,5.9376539194926
NE,10,11.46875,5,5.81529004704812
LAC,10,12.84375,6,5.779848493698951
HOU,10,13.09375,7,5.767051115276544
LA,10,9.09375,8,5.730027574320651
BUF,10,12.09375,9,5.682294829258238
DEN,10,12.28125,10,5.083220394876112
GB,10,11.03125,11,3.51029737984738
TB,10,15.5,12,2.7774875078006653
ARI,10,15.53125,13,2.439962540670365
PHI,10,14.21875,14,1.821733079814456
MIN,10,16.90625,15,1.8191165817078685
SF,10,16.96875,16,1.6513830526802713
JAX,10,16.78125,17,1.0661398029948113
CHI,10,16.0625,18,0.9465552174371982
MIA,10,19.53125,19,0.5600781938660642
BAL,10,15.40625,20,0.3751622924660478
DAL,10,18.125,21,0.3335515677960745
CLE,10,19.5,22,-0.02649471110402412
ATL,10,18.09375,23,-0.12244365628267616
NYG,10,19.5625,24,-0.4049707784945394
NYJ,10,19.28125,25,-0.7618614904270313
WAS,10,18.96875,26,-0.8573464321192408
PIT,10,19.0625,27,-1.402839871108296
NO,10,20.34375,28,-2.0042226675416277
CAR,10,22.03125,29,-2.338283205939745
CIN,10,21.125,30,-3.0951250238043677
TEN,10,24.0625,31,-4.824908808451897
LV,10,21.3125,32,-4.912004029876771
IND,11,8.447368421052632,1,12.178210488145227
KC,11,9.68421052631579,2,11.719610558101325
LA,11,8.105263157894736,3,10.136693456800831
SEA,11,8.131578947368421,4,9.144960558070457
NE,11,9.447368421052632,5,8.686736648542267
HOU,11,12.894736842105264,6,8.43019125381444
DET,11,9.210526315789474,7,7.926878956517455
BUF,11,11.552631578947368,8,7.468807506520152
DEN,11,10.421052631578949,9,6.792983545151489
GB,11,9.710526315789474,10,4.406554177174647
LAC,11,13.473684210526317,11,3.624340211566192
JAX,11,14.68421052631579,12,2.924527453844453
SF,11,15.289473684210526,13,2.731171767074505
TB,11,16.394736842105264,14,2.5096348358552856
PHI,11,13.894736842105264,15,2.494440618474765
BAL,11,14.13157894736842,16,1.4974542118817884
DAL,11,16.263157894736842,17,1.0719614588489896
MIN,11,16.36842105263158,18,0.8173819434220052
CHI,11,15.31578947368421,19,0.7985704772343452
ARI,11,16,20,0.4347468279670139
PIT,11,16.81578947368421,21,-0.6597097635528383
NYG,11,17.92105263157895,22,-1.4026145659169342
MIA,11,17.973684210526315,23,-1.6479134706106475
CAR,11,20.657894736842103,24,-1.682445531029385
